,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
0,2073568161.0,4980000.0,West Hollywood,34.100803,-118.38057,5.0,4.0,4126.0,4922.0,sqft,9.152951388888889,4922.0
1,19875153.0,1215000.0,Woodland Hills,34.180298,-118.6425,2.0,3.0,1825.0,7840.8,sqft,11.805891203703704,7840.8
2,20532606.0,2629000.0,Beverly Hills,34.112854,-118.433876,4.0,4.0,3019.0,0.9959,acres,4.864895833333334,43381.404
5,21313541.0,849000.0,San Pedro,33.713604,-118.29188,2.0,2.0,1154.0,5002.0,sqft,7.449178240740741,5002.0
6,20644461.0,949000.0,Los Angeles,34.0673,-118.17252,2.0,3.0,2158.0,9857.628,sqft,5.760671296296296,9857.628
7,20772260.0,799000.0,Los Angeles,34.10593,-118.18897,2.0,3.0,1300.0,5519.052,sqft,11.596493055555555,5519.052
9,19880191.0,2300000.0,Woodland Hills,34.181713,-118.65543,3.0,5.0,2967.0,0.2544536271808999,acres,13.449178240740741,11084.0
11,20761071.0,899000.0,Los Angeles,34.103657,-118.20901,3.0,3.0,1728.0,3084.048,sqft,11.62425925925926,3084.048
12,20802721.0,6395000.0,Los Angeles,34.12938,-118.372,6.0,4.0,4599.0,0.7614000000000001,acres,11.781122685185185,33166.584
14,20759214.0,1049000.0,Los Angeles,34.112896,-118.23193,2.0,2.0,2080.0,7711.0,sqft,5.449178240740741,7711.0
15,20199836.0,949950.0,Porter Ranch,34.28721,-118.55126,3.0,4.0,2207.0,9027.0,sqft,6.449178240740741,9027.0
16,95547747.0,135000000.0,Beverly Hills,34.09164,-118.436676,27.0,16.0,50000.0,6.03,acres,616.4381597222222,262666.8
18,19899908.0,1199000.0,Woodland Hills,34.16329,-118.61341,2.0,3.0,1270.0,0.2566,acres,5.718680555555555,11177.496
19,20523369.0,53000000.0,Beverly Hills,34.096416,-118.41697,10.0,6.0,19100.0,1.3892,acres,3.721875,60513.551999999996
20,20526802.0,170000000.0,Los Angeles,34.080185,-118.4439,20.0,7.0,28725.0,8.4049,acres,53.44365740740741,366117.44399999996
21,20045421.0,1399900.0,Los Angeles,34.12221,-118.349045,2.0,2.0,1260.0,3406.392,sqft,13.382141203703704,3406.392
22,20040613.0,1195000.0,North Hollywood,34.173668,-118.36454,3.0,3.0,1750.0,6599.0,sqft,15.449178240740741,6599.0
23,20146761.0,1049950.0,Granada Hills,34.266857,-118.48799,2.0,4.0,1760.0,7499.0,sqft,8.449178240740741,7499.0
24,20523735.0,69995000.0,Beverly Hills,34.098576,-118.43304,14.0,8.0,21800.0,5.6979,acres,35.40586805555556,248200.52399999998
25,20801115.0,1875000.0,Los Angeles,34.118515,-118.37,3.0,3.0,1920.0,5715.072,sqft,57.44396990740741,5715.072
26,20380683.0,1595000.0,Los Angeles,33.96167,-118.39082,3.0,4.0,1752.0,6534.0,sqft,13.46537037037037,6534.0
27,302794722.0,995000.0,Los Angeles,34.03095,-118.39402,4.0,3.0,1817.0,1097.712,sqft,4.656481481481482,1097.712
28,20586387.0,1213700.0,Los Angeles,34.013607,-118.338234,4.0,4.0,2315.0,6337.98,sqft,5.891597222222222,6337.98
29,20771018.0,699000.0,Los Angeles,34.121246,-118.197784,1.0,2.0,1042.0,6303.132,sqft,4.767175925925926,6303.132
30,20759653.0,899000.0,Los Angeles,34.110588,-118.22566,3.0,3.0,1310.0,4373.424,sqft,4.638495370370371,4373.424
31,250218759.0,400000000.0,Los Angeles,34.082935,-118.46026,59.0,39.0,70000.0,7.8619,acres,49.76765046296296,342464.364
32,20044937.0,4999999.0,Los Angeles,34.12971,-118.357544,7.0,6.0,5535.0,0.7010000000000001,acres,60.474837962962965,30535.56
33,20098249.0,890000.0,Tujunga,34.256264,-118.282364,3.0,3.0,1444.0,5573.0,sqft,6.449178240740741,5573.0
34,20634531.0,575000.0,Los Angeles,34.02607,-118.205666,2.0,3.0,1694.0,7033.0,sqft,4.449178240740741,7033.0
37,19951894.0,690000.0,Northridge,34.21976,-118.51427,2.0,3.0,1108.0,6473.0,sqft,8.449178240740741,6473.0
39,20523891.0,8995000.0,Los Angeles,34.089714,-118.4374,6.0,4.0,4723.0,1.0666,acres,5.728784722222223,46461.096
41,20040912.0,1095000.0,North Hollywood,34.170444,-118.36388,2.0,3.0,1551.0,5852.0,sqft,90.44917824074074,5852.0
42,462277443.0,499000.0,Los Angeles,34.08815,-118.21387,2.0,2.0,840.0,5462.0,sqft,40.4925,5462.0
44,19986348.0,3595000.0,Sherman Oaks,34.15431,-118.435814,6.0,6.0,4860.0,10582.0,sqft,99.44917824074074,10582.0
45,20768000.0,1499000.0,Los Angeles,34.126907,-118.19912,2.0,2.0,1823.0,6773.58,sqft,8.788229166666667,6773.58
46,20799175.0,79000000.0,Los Angeles,34.097294,-118.38683,9.0,5.0,15200.0,0.4196,acres,12.704224537037037,18277.775999999998
